country,age_group,sex,concert_months,no_concert_months,concert_avg_yoy,no_concert_avg_yoy,uplift_pct_point,t_statistic,binary_p_value,correlation,intensity_p_value,observations,intensity_result,binary_result,is_top10
China,Age 55 - 64,Female,125,38,50.9,31.45,19.44,1.213,0.2269,0.162,0.0383,163,Significant Positive,Not Significant,1
China,Age 55 - 64,Male,125,38,36.75,20.7,16.05,1.434,0.154,0.166,0.0347,163,Significant Positive,Not Significant,1
China,Age 65 & Above,Female,125,38,56.41,29.86,26.55,1.368,0.1733,0.154,0.0494,163,Significant Positive,Not Significant,1
China,Age 65 & Above,Male,125,38,51.76,26.18,25.58,1.448,0.1496,0.164,0.0369,163,Significant Positive,Not Significant,1
Denmark,Age 14 & Below,Female,125,38,9.42,-0.43,9.85,1.66,0.1011,0.019,0.808,163,Not Significant,Not Significant,0
Denmark,Age 14 & Below,Male,125,38,10.08,-2.68,12.75,2.242,0.0277,0.033,0.6732,163,Not Significant,Significant Positive,0
Denmark,Age 15 - 19,Female,125,38,27.31,22.98,4.33,0.253,0.8014,0.021,0.7877,163,Not Significant,Not Significant,0
Denmark,Age 15 - 19,Male,125,38,23.58,3.46,20.12,2.05,0.0421,0.048,0.5401,163,Not Significant,Significant Positive,0
Denmark,Age 20 - 24,Female,125,38,9.52,6.57,2.95,0.666,0.5076,-0.031,0.6988,163,Not Significant,Not Significant,0
Denmark,Age 20 - 24,Male,125,38,8.97,12.43,-3.45,-0.815,0.4172,-0.121,0.1237,163,Not Significant,Not Significant,0
Denmark,Age 25 - 34,Female,125,38,4.38,2.19,2.18,0.562,0.5763,0.012,0.8749,163,Not Significant,Not Significant,0
Denmark,Age 25 - 34,Male,125,38,4.53,-2.32,6.85,2.418,0.0182,0.171,0.0286,163,Significant Positive,Significant Positive,0
Denmark,Age 35 - 44,Female,125,38,6.34,-3.98,10.32,2.73,0.0079,0.15,0.0562,163,Not Significant,Significant Positive,0
Denmark,Age 35 - 44,Male,125,38,1.17,-2.34,3.51,1.433,0.1561,0.035,0.6619,163,Not Significant,Not Significant,0
Denmark,Age 45 - 54,Female,125,38,6.54,-0.64,7.18,1.956,0.0548,0.186,0.0176,163,Significant Positive,Not Significant,0
Denmark,Age 45 - 54,Male,125,38,3.37,0.1,3.27,1.23,0.2237,0.093,0.2369,163,Not Significant,Not Significant,0
Denmark,Age 55 - 64,Female,125,38,4.32,-1.68,6.0,1.393,0.1691,0.147,0.0604,163,Not Significant,Not Significant,0
Denmark,Age 55 - 64,Male,125,38,5.34,-4.47,9.81,3.399,0.0012,0.257,0.0009,163,Significant Positive,Significant Positive,0
Denmark,Age 65 & Above,Female,125,38,7.46,2.08,5.39,1.242,0.2173,0.033,0.6795,163,Not Significant,Not Significant,0
Denmark,Age 65 & Above,Male,125,38,3.86,6.21,-2.35,-0.619,0.5383,0.072,0.3595,163,Not Significant,Not Significant,0
Egypt,Age 14 & Below,Female,124,38,35.36,43.75,-8.38,-0.442,0.6599,0.006,0.9444,162,Not Significant,Not Significant,0
Egypt,Age 14 & Below,Male,122,37,30.68,30.71,-0.03,-0.002,0.9988,-0.016,0.843,159,Not Significant,Not Significant,0
Egypt,Age 15 - 19,Female,98,31,159.32,159.16,0.17,0.002,0.9986,0.052,0.5569,129,Not Significant,Not Significant,0
Egypt,Age 15 - 19,Male,108,30,94.03,180.31,-86.28,-1.01,0.3176,-0.011,0.8975,138,Not Significant,Not Significant,0
Egypt,Age 20 - 24,Female,124,38,36.64,11.34,25.3,1.744,0.0843,0.211,0.0071,162,Significant Positive,Not Significant,0
Egypt,Age 20 - 24,Male,123,38,51.32,15.24,36.08,1.684,0.0951,0.133,0.0937,161,Not Significant,Not Significant,0
Egypt,Age 25 - 34,Female,125,38,12.39,24.04,-11.65,-1.316,0.1935,-0.06,0.4451,163,Not Significant,Not Significant,0
Egypt,Age 25 - 34,Male,125,38,7.64,9.01,-1.37,-0.216,0.8299,0.025,0.7552,163,Not Significant,Not Significant,0
Egypt,Age 35 - 44,Female,125,38,19.83,9.18,10.64,0.882,0.3801,0.051,0.5201,163,Not Significant,Not Significant,0
Egypt,Age 35 - 44,Male,125,38,9.9,0.97,8.93,1.337,0.1857,0.023,0.7706,163,Not Significant,Not Significant,0
Egypt,Age 45 - 54,Female,125,38,26.22,4.31,21.91,1.827,0.0701,0.227,0.0035,163,Significant Positive,Not Significant,0
Egypt,Age 45 - 54,Male,125,38,8.83,3.93,4.9,0.653,0.5157,0.036,0.6516,163,Not Significant,Not Significant,0
Egypt,Age 55 - 64,Female,125,38,31.03,12.39,18.65,1.265,0.2089,0.068,0.3896,163,Not Significant,Not Significant,0
Egypt,Age 55 - 64,Male,125,38,18.55,16.79,1.77,0.127,0.8997,0.04,0.6124,163,Not Significant,Not Significant,0
Egypt,Age 65 & Above,Female,121,38,41.85,69.02,-27.17,-0.781,0.4384,-0.032,0.6886,159,Not Significant,Not Significant,0
Egypt,Age 65 & Above,Male,125,38,36.64,78.66,-42.02,-1.244,0.2197,-0.029,0.7109,163,Not Significant,Not Significant,0
Finland,Age 14 & Below,Female,125,38,26.67,25.07,1.61,0.136,0.8918,0.004,0.9606,163,Not Significant,Not Significant,0
Finland,Age 14 & Below,Male,125,38,23.32,24.64,-1.32,-0.116,0.9077,0.029,0.7136,163,Not Significant,Not Significant,0
Finland,Age 15 - 19,Female,125,38,40.22,16.06,24.16,1.82,0.071,-0.016,0.8402,163,Not Significant,Not Significant,0
